index,text
Dindex,['text']
D0,"['100', 'best', 'place', 'visit', 'usa', 'valley', 'fire', 'state', 'park', 'nv', '4qmoeho', 'http', 'co', '5lxzqsjsza', 'bassino', 'kanyewest', 'childhood', 'kystatepark', 'young', 'wato', 'defens', 'southernontario', 'nativeamerican', 'patriot', 'atthebiga', 'http', 'co', 'e3gds1ruoh']"
D1,"['agre', 'ye', 'point', 'kanyewest', 'ye2024', 'joebiden']"
D2,"['2022', '12', '19t10', '00', '04', '5267368z', '50', 'get', 'http', 'co', 'bqd5jbswpk', 'gamergirl', 'videogam', 'gamer', 'game', 'retrogam', 'kanyewest', 'kimkardashian', 'justinbieb']"
D3,"['kanyewest', 'suck', 'di̇ck']"
D4,"['50', 'get', 'http', 'co', 'gugpbkeeof', 'gamergirl', 'videogam', 'gamer', 'game', 'retrogam', 'kanyewest', 'kimkardashian', 'justinbieb', 'decemb', '19', '2022', '04', '29pm']"
D5,"['ye', 'recognis', 'origin', 'jew', 'hate', 'self', 'elect', 'made', 'jew', 'chosen', 'one', 'ha', 'ha', 'delud', 'ye', 'kanyewest', 'jewishmafia', 'antichristian', 'jew', 'delud']"
D6,"['kany', 'noth', 'wrong', 'hitler', 'ye', 'kanyewest']"
D7,"['50', 'get', 'http', 'co', 'gugpbkeeof', 'gamergirl', 'videogam', 'gamer', 'game', 'retrogam', 'kanyewest', 'kimkardashian', 'justinbieb', 'decemb', '19', '2022', '03', '29pm']"
D8,"['play', 'bobbi', 'brown', 'rock', 'wit', 'cha', 'listen', 'http', 'co', 'lwzld4y7sj', 'sister', 'rita', 'x', 'show', 'air', 'daili', '4pm', 'pst', '6pm', 'pst', 'http', 'co', 'ws56iygoom', 'chicago', 'kanyewest', 'atl', 'lasvega', 'buffalo', 'pt', 'ghana', 'franc', 'nm', 'dublin', 'kenya', 'ye', 'radiost']"
D9,"['kanyewest', 'one', 'top', '3', 'favorit', 'rapper', 'listen', 'vers', 'runthistown']"
D10,"['elonmusk', 'shot', 'foot', 'musk', 'need', 'stop', 'micro', 'manag', 'stop', 'twitter', 'nanni', 'free', 'speech', 'absolutist', 'instead', 'suspend', 'father', 'inform', 'cultur', 'war', 'alexjon', 'suspend', 'artist', 'visionari', 'kanyewest', 'suspend', 'journalist', 'shadow', 'ban', 'tsk', 'tsk', 'smh']"
