index,text
Dindex,['text']
D0,"['100', 'best', 'places', 'visit', 'usa', 'valley', 'fire', 'state', 'park', 'nv', '4qmoeho', 'https', 'co', '5lxzqsjsza', 'bassino', 'kanyewest', 'childhood', 'kystateparks', 'young', 'wato', 'defense', 'southernontario', 'nativeamerican', 'patriots', 'atthebiga', 'https', 'co', 'e3gds1ruoh']"
D1,"['agree', 'ye', 'point', 'kanyewest', 'ye2024', 'joebiden']"
D2,"['2022', '12', '19t10', '00', '04', '5267368z', '50', 'get', 'https', 'co', 'bqd5jbswpk', 'gamergirl', 'videogame', 'gamer', 'gaming', 'retrogame', 'kanyewest', 'kimkardashian', 'justinbieber']"
D3,"['kanyewest', 'suck', 'di̇ck']"
D4,"['50', 'get', 'https', 'co', 'gugpbkeeof', 'gamergirl', 'videogame', 'gamer', 'gaming', 'retrogame', 'kanyewest', 'kimkardashian', 'justinbieber', 'december', '19', '2022', '04', '29pm']"
D5,"['ye', 'recognised', 'original', 'jew', 'hate', 'self', 'elected', 'made', 'jews', 'chosen', 'one', 'ha', 'ha', 'deluded', 'ye', 'kanyewest', 'jewishmafia', 'antichristianity', 'jews', 'deluded']"
D6,"['kanye', 'nothing', 'wrong', 'hitler', 'ye', 'kanyewest']"
D7,"['50', 'get', 'https', 'co', 'gugpbkeeof', 'gamergirl', 'videogame', 'gamer', 'gaming', 'retrogame', 'kanyewest', 'kimkardashian', 'justinbieber', 'december', '19', '2022', '03', '29pm']"
D8,"['playing', 'bobby', 'brown', 'rock', 'wit', 'cha', 'listen', 'https', 'co', 'lwzld4y7sj', 'sister', 'rita', 'x', 'show', 'airs', 'daily', '4pm', 'pst', '6pm', 'pst', 'https', 'co', 'ws56iygoom', 'chicago', 'kanyewest', 'atl', 'lasvegas', 'buffalo', 'pt', 'ghana', 'france', 'nm', 'dublin', 'kenya', 'ye', 'radiostation']"
D9,"['kanyewest', 'one', 'top', '3', 'favorite', 'rappers', 'listen', 'verse', 'runthistown']"
D10,"['elonmusk', 'shot', 'foot', 'musk', 'needed', 'stop', 'micro', 'managing', 'stop', 'twitter', 'nanny', 'free', 'speech', 'absolutist', 'instead', 'suspended', 'father', 'information', 'culture', 'war', 'alexjones', 'suspended', 'artist', 'visionary', 'kanyewest', 'suspended', 'journalists', 'shadow', 'banned', 'tsk', 'tsk', 'smh']"
D11,"['100', 'best', 'places', 'visit', 'usa', 'san', 'antonio', 'missions', 'national', 'historical', 'park', 'tx', 'wn4gnjx', 'https', 'co', 'clq3cjmlbe', 'murder', 'birth', 'cardiffcity', 'girlstennis', 'youngsville', 'waynesboro', 'leeds', 'infinity', 'kanyewest', 'got7', 'millbay', 'jcmo', 'surveillance', 'https', 'co', '8uct35fd72']"
D12,"['sister', 'rita', 'x', 'show', 'airs', 'daily', '4pm', 'pst', '6pm', 'pst', 'https', 'co', 'ws56iygoom', 'chicago', 'kanyewest', 'atl', 'lasvegas', 'buffalo', 'pt', 'ghana', 'france', 'nm', 'dublin', 'kenya', 'ye', 'radiostation']"
D13,"['repent', 'ye', 'british', 'studio', 'helps', 'ex', 'fans', 'kanyewest', 'get', 'rid', 'tattoos', 'https', 'co', 'yox6makzvn']"
D14,"['playing', 'wham', 'everything', 'wants', 'listen', 'https', 'co', 'lwzld4y7sj', 'sister', 'rita', 'x', 'show', 'airs', 'daily', '4pm', 'pst', '6pm', 'pst', 'https', 'co', 'ws56iygoom', 'chicago', 'kanyewest', 'atl', 'lasvegas', 'buffalo', 'pt', 'ghana', 'france', 'nm', 'dublin', 'kenya', 'ye', 'radiostation']"
D15,"['bishop', 'un', 'chained', 'like', 'share', 'amp', 'subscribe', 'iuic', 'oklahoma', 'youtube', 'oklahomacity', 'kanye', 'ye', 'jew', 'jewish', 'antisemitic', 'antisemetism', 'instagram', 'explore', 'kanyewest', 'youtube', 'christ', 'christianity', 'deuteronomy28', 'redmedia', 'https', 'co', '4fdicn4g6c']"
D16,"['fuck', 'kanyewest', 'gt', 'happy', 'first', 'day', 'hanukkah', 'heres', 'cookie', 'made', 'https', 'co', 'bqpueqwnb6']"
D17,"['2022', '12', '19t07', '00', '12', '4386912z', '50', 'get', 'https', 'co', 'ptbw0kjew3', 'gamergirl', 'videogame', 'gamer', 'gaming', 'retrogame', 'kanyewest', 'kimkardashian', 'justinbieber']"
D18,"['hear', 'voice', 'ancestors', 'muhammadali', 'kyrieirving', 'kanyewest', 'https', 'co', 'br97ckkbkx', 'via', 'youtube', 'ali', 'hitting', 'ws', 'fists', 'truth', 'amp', 'logic']"
D19,"['ytshorts', 'latest', 'live', 'show', 'full', 'show', 'https', 'co', 'werf6cyb01', 'mark', 'jason', 'discuss', 'everybody', 'gets', 'wrong', 'kanyewest', 'kanyeisright', 'kanye', 'kanyeisanazi', 'ye', 'https', 'co', 'f31olqg7mm']"
D20,"['kanyewest', 'hope', 'say', 'happy', 'hanukkah', 'bless', 'ye']"
D21,"['keep', 'commandments', 'stop', 'sinning', 'visit', 'website', 'https', 'co', 'hrymxnvom4', 'iuic', 'iuicphoenix', 'iuictv', 'stopsinningsunday', 'nbacentral', 'kyrieirving', 'theshaderoom', 'barclays', 'ye', 'kanyewest', 'jewish', 'jew', 'antisemitism', 'blacktwitter', 'https', 'co', '8rlat2okcp']"
D22,"['lindyli', 'wow', 'anti', 'semitism', 'islamophobia', 'one', 'tweet', 'obviously', 'agent', 'ccp', 'checking', 'china', 'latest', 'recruit', 'investment', 'joe', 'biden', 'making', 'sure', 'following', 'plan', 'elongoat', 'kanyewest', 'twintowerswereaninsidejob', 'https', 'co', 'cd8suilm8s']"
D23,"['diedsuddenly', 'elonmusk', 'elonmusk', 'indeed', 'kanyewest', 'right', 'https', 'co', 'kjhtpql0zv', 'need', 'continue', 'allowing', 'free', 'speech', 'also', 'consider', 'https', 'co', 'awpglngqja', 'facts', 'facts', 'nothing']"
D24,"['dove', 'style', 'care', 'curls', 'defining', 'mousse', 'soft', 'hold', '7', 'oz', 'pack', '3', 'oaznct5', 'https', 'co', 'ldait2i2ye', 'boston', 'chicken', 'scotch', 'govt', 'birding', 'fashion', 'amcbuzz', 'murder', 'smartwatch', 'preciousmetals', 'eth', 'mets', 'kanyewest', 'cam', 'https', 'co', 'byzysv6ocx']"
D25,"['friend', 'kanyewest', 'crazy', 'reject', 'narrative', 'wise']"
D26,"['2022', '12', '19t05', '00', '15', '0082651z', '50', 'get', 'https', 'co', 'biihvd6rft', 'gamergirl', 'videogame', 'gamer', 'gaming', 'retrogame', 'kanyewest', 'kimkardashian', 'justinbieber']"
D27,"['yes', 'kanyewest', 'paying', 'office', 'rent', 'however', 'also', 'moved', 'office', 'several', 'months', 'ago', 'really', 'care', 'evict', 'spillinjuices', 'https', 'co', 'nbfqk9f5k5']"
D28,"['masterpmiller', 'show', 'kanye', 'factory', 'always', 'products', 'needed', 'little', 'specifics', 'styles', 'designs', 'snoophoopz']"
D29,"['kanye', 'vs', 'world', 'https', 'co', 'pijiklukiq']"
D30,"['attacker', 'yells', 'kanye', '2024', 'antisemitic', 'assault', 'police', 'say', 'according', 'man', '2024', 'kanye', 'central', 'york', 'yells', 'nypd', 'adl', 'attacker', 'attack', 'say', 'park', 'antisemitic', 'hate', 'assault', 'https', 'co', 'vdaxd0yzcu', 'https', 'co', 'u5b7x41yle']"
D31,"['myspacetom', 'elonmusk', 'kanye', 'poised', 'take', 'controls']"
D32,"['maybe', 'legalize', 'drugs', 'people', 'taking', 'americans', 'stop', 'dying', 'messi𓃵', 'drugs', 'fent', 'wiggers', 'warondrugs', 'waronwomen', 'mbappe', 'worldcupfinal', 'addictionrecovery', 'rehab', 'andrewtate', 'elon', 'trump', 'joe', 'britneygriner', 'tiktok', 'viral', 'nfts', 'crypto', 'letsgobrandon', 'kanye', 'https', 'co', 'xcpecwgqw8']"
D33,"['soccer', 'boring', 'football', 'cool', 'soccer', 'opiate', 'masses', 'socialismoesmiseria', 'usa', 'messi𓃵', 'trumptraitorcards', 'westandwithshiffa', 'weloveayesha', 'poshmark', 'nftgiveaways', 'nftsales', 'priyankit', 'chinaprotests', 'chine', 'podcastandchill', 'magatears', 'kanye', 'nickcarter', 'topg']"
D34,"['kanye', 'right', 'day', 'twitter', 'n', 'see', 'jew', 'jew', 'pretty', 'sure', 'sim', 'religious', 'fucks', 'use', 'science', 'n', 'basically', 'medical', 'machine', 'hospitals', 'https', 'co', '9glggxosze']"
D35,"['feel', 'like', 'republicans', 'going', 'way', 'year', 'say', 'happyhanukkah', 'wonder', 'anything', 'kanye', 'maybe', 'noticing', 'kanye']"
D36,"['want', 'wish', 'kanye', 'happy', 'hanukkah', 'kanye', 'hanukkah', 'happyholidays']"
D37,"['arielhelwani', 'wont', 'ever', 'talk', 'apartheid', 'palestine', 'go', 'kanye', 'messi', 'ability', 'jewish', 'ppl', 'change', 'conversation', 'antisemitism', 'deflect', 'real', 'issues', 'dont', 'change', 'fact', 'goat𓃵', 'mma', 'ufc', 'muslim', 'named', 'teamkhabib', 'worldcup', 'https', 'co', 'ntdlje4tax', 'https', 'co', '77kx5lhmt6']"
D38,"['keithedwards', 'nytimes', 'new', 'york', 'times', 'simply', 'honest', 'us', 'fact', 'antisemitic', 'would', 'make', 'kanye', 'blush']"
D39,"['want', 'see', 'people', 'like', 'kanye', 'completely', 'lose', 'mind', 'elonmusk', 'step', 'make', 'jaredkushner', 'ceo', 'twitter', 'together', 'recently', 'perhaps', 'talking', 'https', 'co', 'u15h5tyizf']"
D40,"['lol', 'people', 'kanye', 'west', 'tattoos', 'https', 'co', 'uqq1xicnox', 'kanye', 'kanyewest', 'ye', 'tattoo', 'tattoos', 'antisemitism', 'rap', 'hiphop']"
D41,"['decent', 'dark', 'ep', '11', 'decent', 'warzone', 'live', 'warzone', 'callofduty', 'mw2', 'podcast', 'newepisode', 'elon', 'kanye', 'twitch', 'youtube', 'twitter', 'decent', 'culture', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspaces', 'omegle', 'follow', 'like', 'subscribe', 'https', 'co', 'hc9yhanp2q']"
D42,"['decent', 'dark', 'ep', '11', 'decent', 'warzone', 'live', 'warzone', 'callofduty', 'mw2', 'podcast', 'newepisode', 'elon', 'kanye', 'twitch', 'youtube', 'twitter', 'decent', 'culture', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspaces', 'omegle', 'follow', 'like', 'subscribe', 'https', 'co', 'bmlhtfllus']"
D43,"['decent', 'dark', 'ep', '11', 'decent', 'warzone', 'live', 'warzone', 'callofduty', 'mw2', 'podcast', 'newepisode', 'elon', 'kanye', 'twitch', 'youtube', 'twitter', 'decent', 'culture', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspaces', 'omegle', 'follow', 'like', 'subscribe', 'https', 'co', '5oxqrui6f1']"
D44,"['decent', 'dark', 'ep', '11', 'decent', 'warzone', 'live', 'warzone', 'callofduty', 'mw2', 'podcast', 'newepisode', 'elon', 'kanye', 'twitch', 'youtube', 'twitter', 'decent', 'culture', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspaces', 'omegle', 'follow', 'like', 'subscribe', 'https', 'co', 'oq8ceejx7n']"
D45,"['therealoj32', 'asking', 'elonmusk', 'please', 'verfiy', 'twitter', 'right', 'fullsendpodcast', 'ojsimpson', 'elonmusk', 'kanye', 'kardashians', 'https', 'co', '3kuqbqemif']"
D46,"['rich', 'divorced', 'dads', 'midlife', 'crisis', 'control', 'public', 'communications', 'media', 'culture', 'etc', 'already', 'bought', 'fancy', 'car', 'company', 'shiny', 'toys', 'get', 'therapy', 'elon', 'twitter', 'tesla', 'kanye', 'divorceddads', 'midlifecrisis', 'wegetitbroyoumissher']"
D47,"['eyes', 'ye', 'kanyewest', 'teamkanyedaily', 'memelyxyz', 'kanye', 'elonmusk', 'viralvideo', 'kanyememe', 'memely', 'https', 'co', '8wk5ywinnw']"
D48,"['one', 'k4s', 'ent', 'hflmag', 'cover', 'feature', 'rezasarrafieh', 'memorable', 'moments', 'working', 'rocnation', 'lilnasx', 'snohalegrah', 'djkhaled', 'rnb', 'hiphop', 'rocnation', 'vicmensa', 'jcole', 'kanye', 'hflmag', 'https', 'co', 'hr63qxp0yj', 'https', 'co', '2wyka0sn2j']"
D49,"['elon', 'suspend', 'kanye']"
D50,"['since', 'learning', 'fascism', 'exist', 'even', 'hearts', 'black', 'americans', 'example', 'kanye', 'think', 'valid', 'question', 'anymore', 'nahceemah', 'https', 'co', '3yxtaxn3gy']"
D51,"['nahceemah', 'rosesknee25', 'jb', 'sc', 'logoffbrent', 'since', 'learning', 'fascism', 'exist', 'even', 'hearts', 'black', 'americans', 'example', 'kanye', 'think', 'valid', 'question', 'anymore', 'nahceemah']"
D52,"['elonmusk', 'veeeeery', 'introspective', 'almost', 'universally', 'applicable', 'elonmusk', 'repmtg', 'laurenboebert', 'realdonaldtrump', 'kanye']"
D53,"['mama', 'mailboo', 'repkatcammack', 'awe', 'bless', 'pathetic', 'antisemitic', 'kanye', 'ass', 'kissing', 'heart', 'favor', 'tonight', 'bc', 'going', 'us', 'tweets', 'remind', 'kat', 'kind', 'trash', 'simps', 'jew', 'hater', 'abhorrent', 'remains', 'silent']"
D54,"['half', 'black', 'half', 'jewish', 'person', 'thought', 'came', 'today', 'ye', 'billionaire', 'recent', 'statements', 'still', 'currently', 'far', 'wealthy', 'us', 'ever', 'jews', 'done', 'dirty', 'right', 'antisemitism', 'hebrew', 'kanye']"
D55,['kanye']
D56,"['see', 'wall', 'bounce', 'apex', 'apexlegends', 'apexmobile', 'twitter', 'america', 'media', 'memes', 'hockey', 'tmz', 'comedy', 'support', 'fomc', 'nft', 'meta', 'viral', 'trends', 'fifa', 'worldcup', 'podcast', 'funny', 'election', 'sale', 'national', 'kanye', 'holiday', 'deals', 'coin', 'happy', 'community', 'digital', 'https', 'co', 'iwwooakfhv']"
D57,"['lorafrimanee', 'put', 'kanye']"
